REFERENCE_ID,OPERATOR_NAME,OPERATOR_PHONE,EMAIL,WEBSITE,ADDRESS,REGIONS,OPERATING_AREA,OPERATOR_TYPE,LOCATION_NAME,TSN,LATITUDE,LONGITUDE,EFA_ID,FACILITIES,ACCESSIBILITY,TRANSPORT_MODE,MORNING_PEAK,AFTERNOON_PEAK,SHORT_PLATFORM,PEAK_OPERATIONS_COUNT,REGION_OPERATOR_COUNT,TYPE_OPERATOR_COUNT
900165,Kimironko Transport Co.,250763131852,info@centralcoastlimousines.com.au,www.centralcoastlimousines.com.au,"KG 11 Ave, Remera",Gasabo,Ndera,Hire car,Jabana,20009,-1.903205,30.061636,10102002,Public Wi-Fi | Charging stations | Restrooms,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Taxi,No,No,False,0,16,13
900181,Green Moto Kigali,250741583857,hirercars4u@gmail.com,www.hirecars4u.com.au,"KG 9 Ave, Kacyiru",Gasabo,Jabana,Hire car,Kanyinya,20001,-1.922413,30.079874,10102002,Public Wi-Fi | Charging stations | Restrooms,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Bus,No,No,True,0,16,13
900188,Volcano Taxi Ltd.,250742047250,info@rwandatransport.rw,www.rwandatransport.rw,"KN 2 Ave, Nyarugenge",Gasabo,Nduba,Taxi,Gikondo,20133,-1.924148,30.04399,10102002,Bike racks | Help point | Timetable display,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Mini Bus,Yes,No,True,1,16,14
900222,Remera Quick Rides,250704222610,info@rwandatransport.rw,www.rwandatransport.rw,"KK 15 Rd, Kanombe",Nyarugenge,Nyamirambo,Hire car,Kicukiro,20000,-1.92308,30.061694,10102002,Sheltered waiting area | Security presence,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Moto,Yes,No,True,1,8,13
900261,Vision Transport,250757366172,info@rwandatransport.rw,www.rwandatransport.rw,"KK 19 Ave, Gisozi",Nyarugenge,Nyarugenge,Hire car,Kinyinya,20113,-1.929227,30.044618,10102002,Public Wi-Fi | Charging stations | Restrooms,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,E-Bike,Yes,Yes,True,2,8,13
900275,Rwanda Transport Services,250788503107,info@rwandatransport.rw,www.rwandatransport.rw,"KG 4 Ave, Rusororo",Gasabo,Kimihurura,Taxi,Ndera,20009,-1.911157,30.084076,10102002,Bike racks | Help point | Timetable display,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,E-Bike,No,Yes,True,1,16,14
900381,Nyabugogo Express,250766369503,info@rwandatransport.rw,www.hopkinsons.com.au,"KN 2 Ave, Nyarugenge",Nyarugenge,Nyakabanda,Regular bus,Gahanga,20009,-1.949892,30.045185,10102002,Bike racks | Help point | Timetable display,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Bus,Yes,Yes,False,2,8,1
900389,Kigali City Taxis,250741302238,info@rwandatransport.rw,www.rwandatransport.rw,"KN 3 Rd, Kigali",Nyarugenge,Gitega,Hire car,Jali,20005,-1.922646,30.085464,10102002,Sheltered waiting area | Security presence,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Mini Bus,No,No,False,0,8,13
900433,Volcano Taxi Ltd.,250716149264,info@rwandatransport.rw,www.rwandatransport.rw,"KG 11 Ave, Remera",Gasabo,Gatsata,Taxi,Gahanga,20034,-1.934592,30.047122,10102002,CCTV | Digital info board | First Aid Kit,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Bus,No,No,True,0,16,14
900532,Kigali City Taxis,250774911748,info@rwandatransport.rw,www.rwandatransport.rw,"KN 5 Rd, Nyabugogo",Kicukiro,Nyarugunga,Taxi,Gisozi,20009,-1.924835,30.094695,10102002,Public Wi-Fi | Charging stations | Restrooms,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,E-Bike,No,Yes,False,1,6,14
900545,Kigali City Taxis,250794591398,info@rwandatransport.rw,www.rwandatransport.rw,"KN 5 Rd, Nyabugogo",Nyarugenge,Kanyinya,Taxi,Gisozi,20004,-1.944959,30.115512,10102002,Bike racks | Help point | Timetable display,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Moto,Yes,No,True,1,8,14
900567,Rwanda Transport Services,250734396076,info@rwandatransport.rw,www.rwandatransport.rw,"KG 9 Ave, Kacyiru",Kicukiro,Kanombe,Taxi,Masaka,20009,-1.959263,30.081815,10102002,CCTV | Digital info board | First Aid Kit,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Mini Bus,No,Yes,False,1,6,14
