REFERENCE_ID,OPERATOR_NAME,OPERATOR_PHONE,EMAIL,WEBSITE,ADDRESS,REGIONS,OPERATING_AREA,OPERATOR_TYPE,LOCATION_NAME,TSN,LATITUDE,LONGITUDE,EFA_ID,FACILITIES,ACCESSIBILITY,TRANSPORT_MODE,MORNING_PEAK,AFTERNOON_PEAK,SHORT_PLATFORM
900165,Kimironko Transport Co.,250763131852,info@centralcoastlimousines.com.au,www.centralcoastlimousines.com.au,"KG 11 Ave, Remera",Kigali City,Nyamirambo,Hire car,Nyabugogo Taxi Park,20009,-1.938282,30.130455,10102002,Bike racks | Emergency help point | Next service display | Opal card top up or single trip ticket machine (Card Payment only),This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Ferry,Yes,No,False
900181,Green Moto Kigali,250741583857,hirercars4u@gmail.com,www.hirecars4u.com.au,"KG 9 Ave, Kacyiru",Kigali City,Remera,Hire car,Nyabugogo Taxi Park,20009,-1.907811,30.128558,10102002,Bike racks | Emergency help point | Next service display | Opal card top up or single trip ticket machine (Card Payment only),This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Ferry,Yes,No,False
900188,Volcano Taxi Ltd.,250742047250,info@rwandatransport.rw,www.rwandatransport.rw,"KN 2 Ave, Nyarugenge",Northern Province,Kimironko,Taxi,Nyabugogo Taxi Park,20009,-1.929546,30.094399,10102002,Bike racks | Emergency help point | Next service display | Opal card top up or single trip ticket machine (Card Payment only),This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Ferry,Yes,No,False
900222,Remera Quick Rides,250704222610,info@rwandatransport.rw,www.rwandatransport.rw,"KK 15 Rd, Kanombe",Kigali City,Kacyiru,Hire car,Nyabugogo Taxi Park,20009,-1.924281,30.073816,10102002,Bike racks | Emergency help point | Next service display | Opal card top up or single trip ticket machine (Card Payment only),This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Ferry,Yes,No,False
900261,Vision Transport,250757366172,info@rwandatransport.rw,www.rwandatransport.rw,"KK 19 Ave, Gisozi",Northern Province,Gisozi,Hire car,Nyabugogo Taxi Park,20009,-1.960839,30.110421,10102002,Bike racks | Emergency help point | Next service display | Opal card top up or single trip ticket machine (Card Payment only),This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Ferry,Yes,No,False
900275,Rwanda Transport Services,250788503107,info@rwandatransport.rw,www.rwandatransport.rw,"KG 4 Ave, Rusororo",Western Province,Evans Head,Taxi,Nyabugogo Taxi Park,20009,-1.931887,30.065705,10102002,Bike racks | Emergency help point | Next service display | Opal card top up or single trip ticket machine (Card Payment only),This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Ferry,Yes,No,False
900381,Nyabugogo Express,250766369503,info@rwandatransport.rw,www.hopkinsons.com.au,"KN 2 Ave, Nyarugenge",Kigali City,"Sydney - South West, Sydney - Western Suburbs",Regular bus,Nyabugogo Taxi Park,20009,-1.965226,30.109276,10102002,Bike racks | Emergency help point | Next service display | Opal card top up or single trip ticket machine (Card Payment only),This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Ferry,Yes,No,False
900389,Kigali City Taxis,250741302238,info@rwandatransport.rw,www.rwandatransport.rw,"KN 3 Rd, Kigali",ACT,Fyshwick,Hire car,Nyabugogo Taxi Park,20009,-1.931942,30.078714,10102002,Bike racks | Emergency help point | Next service display | Opal card top up or single trip ticket machine (Card Payment only),This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Ferry,Yes,No,False
900433,Volcano Taxi Ltd.,250716149264,info@rwandatransport.rw,www.rwandatransport.rw,"KG 11 Ave, Remera",Northern Province,Kimironko,Taxi,Nyabugogo Taxi Park,20009,-1.924968,30.144357,10102002,Bike racks | Emergency help point | Next service display | Opal card top up or single trip ticket machine (Card Payment only),This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Ferry,Yes,No,False
900532,Kigali City Taxis,250774911748,info@rwandatransport.rw,www.rwandatransport.rw,"KN 5 Rd, Nyabugogo",Kigali City,"Milton, Ulladulla",Taxi,Nyabugogo Taxi Park,20009,-1.91031,30.112283,10102002,Bike racks | Emergency help point | Next service display | Opal card top up or single trip ticket machine (Card Payment only),This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Ferry,Yes,No,False
900545,Kigali City Taxis,250794591398,info@rwandatransport.rw,www.rwandatransport.rw,"KN 5 Rd, Nyabugogo",Northern Province,Mulwala,Taxi,Nyabugogo Taxi Park,20009,-1.941391,30.062149,10102002,Bike racks | Emergency help point | Next service display | Opal card top up or single trip ticket machine (Card Payment only),This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Ferry,Yes,No,False
900567,Rwanda Transport Services,250734396076,info@rwandatransport.rw,www.rwandatransport.rw,"KG 9 Ave, Kacyiru",Northern Province,Narrandera,Taxi,Nyabugogo Taxi Park,20009,-1.947772,30.097562,10102002,Bike racks | Emergency help point | Next service display | Opal card top up or single trip ticket machine (Card Payment only),This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Ferry,Yes,No,False
900568,Kigali City Taxis,250725650282,info@rwandatransport.rw,www.rwandatransport.rw,"KN 5 Rd, Nyabugogo",Central West and Orana,Narromine,Taxi,Nyabugogo Taxi Park,20009,-1.927353,30.10284,10102002,Bike racks | Emergency help point | Next service display | Opal card top up or single trip ticket machine (Card Payment only),This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Ferry,Yes,No,False
900759,Volcano Taxi Ltd.,250786059898,info@rwandatransport.rw,www.rwandatransport.rw,"KG 4 Ave, Rusororo",Kigali City,Sussex Inlet,"Hire car, Taxi",Nyabugogo Taxi Park,20009,-1.914024,30.061708,10102002,Bike racks | Emergency help point | Next service display | Opal card top up or single trip ticket machine (Card Payment only),This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Ferry,Yes,No,False
900788,Remera Quick Rides,250706782908,info@rwandatransport.rw,www.rwandatransport.rw,"KG 4 Ave, Rusororo",New England North West,Tenterfield,Taxi,Nyabugogo Taxi Park,20009,-1.962834,30.084893,10102002,Bike racks | Emergency help point | Next service display | Opal card top up or single trip ticket machine (Card Payment only),This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Ferry,Yes,No,False
900797,Kimironko Transport Co.,250777364751,torontohirecars@bigpond.com,www.rwandatransport.rw,"KG 21 St, Kimironko",Newcastle and Hunter,Fennell Bay,Hire car,Nyabugogo Taxi Park,20009,-1.923343,30.063902,10102002,Bike racks | Emergency help point | Next service display | Opal card top up or single trip ticket machine (Card Payment only),This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Ferry,Yes,No,False
900808,Kimironko Transport Co.,250784658633,bookings@tuggerahlakeslimousines.com.au,www.rwandatransport.rw,"KN 3 Rd, Kigali",Kigali City,Remera,Hire car,Nyabugogo Taxi Park,20009,-1.945872,30.09052,10102002,Bike racks | Emergency help point | Next service display | Opal card top up or single trip ticket machine (Card Payment only),This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Ferry,Yes,No,False
900816,Akagera Bus Lines,250789774169,info@rwandatransport.rw,www.rwandatransport.rw,"KG 9 Ave, Kacyiru",Western Province,Murwillumbah,Taxi,Nyabugogo Taxi Park,20009,-1.933116,30.117353,10102002,Bike racks | Emergency help point | Next service display | Opal card top up or single trip ticket machine (Card Payment only),This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Ferry,Yes,No,False
900822,Akagera Bus Lines,250705624887,info@rwandatransport.rw,www.rwandatransport.rw,"KG 11 Ave, Remera",New England North West,Uralla,Taxi,Nyabugogo Taxi Park,20009,-1.919019,30.068891,10102002,Bike racks | Emergency help point | Next service display | Opal card top up or single trip ticket machine (Card Payment only),This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Ferry,Yes,No,False
900836,Kigali City Taxis,250749226581,info@rwandatransport.rw,www.rwandatransport.rw,"KN 2 Ave, Nyarugenge",Far West,Walgett,Taxi,Nyabugogo Taxi Park,20009,-1.917928,30.055437,10102002,Bike racks | Emergency help point | Next service display | Opal card top up or single trip ticket machine (Card Payment only),This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Ferry,Yes,No,False
900859,Kigali City Taxis,250783844020,christy.white@wellington.nsw.gov.au,www.wellington-nsw.com/Wellington_Community.html,"KN 1 Rd, Downtown",Central West and Orana,Dubbo Regional Council,Community transport,Wellington Station,28202,-1.941326,30.087129,10101810,Commuter car park | Toilets | Wheelchair accessible toilet | Baby change table | Emergency help point | Information point | Payphone,This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Stairs,"Train, Coach",Yes,No,False
900860,Nyabugogo Express,250774734623,info@rwandatransport.rw,www.rwandatransport.rw,"KN 5 Rd, Nyabugogo",Central West and Orana,Wellington,Taxi,Nyabugogo Taxi Park,20009,-1.933529,30.100212,10102002,Bike racks | Emergency help point | Next service display | Opal card top up or single trip ticket machine (Card Payment only),This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Ferry,Yes,No,False
900869,Volcano Taxi Ltd.,250745650570,info@rwandatransport.rw,www.rwandatransport.rw,"KN 5 Rd, Nyabugogo",Northern Province,"Moama, Mathoura",Hire car,Nyabugogo Taxi Park,20009,-1.960241,30.148033,10102002,Bike racks | Emergency help point | Next service display | Opal card top up or single trip ticket machine (Card Payment only),This location is Independent Access | Wheelchair ramp boarding assistance | Hearing loop | PA system for announcements | Wharf edge tactiles,Ferry,Yes,No,False
